rt,stimulus,key_press,test_part,trial_type,trial_index,time_elapsed,internal_node_id,subject,target,responses,question_order,response
2616.885,Welcome to the experiment. Press any key to begin.,13,welcome,html-keyboard-response,0,2618,0.0-0.0,s20encxw28459xp,,,,
39540.54,<p>In this study you will hear a short musical clip and then make some ratings about the emotion it expresses or conveys</p><p>First you will select which emotion you think the musical clip is expressing</p><p>You will then rate how pleasant the feeling expressed in the musical clip was and also how energetic it was</p><p>Press the space bar to begin</p>,32,instruction,html-keyboard-response,1,42161,0.0-1.0,s20encxw28459xp,,,,
null,"<div style=""font-size:60px;"">+</div>",null,fixation,html-keyboard-response,2,43165,0.0-2.0-0.0,s20encxw28459xp,,,,
null,"<div style=""font-size:60px;color:green"">+</div>",null,fixation,html-keyboard-response,3,43666,0.0-2.0-1.0,s20encxw28459xp,,,,
null,audio/2_Love's_Requiem.mp3,null,song,audio-keyboard-response,4,44669,0.0-2.0-2.0,s20encxw28459xp,sad,,,
17526.015,,,emotion_rating,survey-multi-choice,5,62198,0.0-2.0-3.0,s20encxw28459xp,,"{""Q0"":""Relaxed""}",[0],
3806.91,<p>How negative/positive was this feeling expressed in this musical clip</p>,,valence rating,html-slider-response,6,66034,0.0-2.0-4.0,s20encxw28459xp,,,,50
5024.68,<p>How energetic/arousing was the feeling expressed in this musical clip</p>,,arousal rating,html-slider-response,7,71062,0.0-2.0-5.0,s20encxw28459xp,,,,50
null,"<div style=""font-size:60px;"">+</div>",null,fixation,html-keyboard-response,8,72064,0.0-2.0-0.1,s20encxw28459xp,,,,
null,"<div style=""font-size:60px;color:green"">+</div>",null,fixation,html-keyboard-response,9,72569,0.0-2.0-1.1,s20encxw28459xp,,,,
null,audio/12_Skinny_Love.mp3,null,song,audio-keyboard-response,10,73571,0.0-2.0-2.1,s20encxw28459xp,sad,,,
14180.59,,,emotion_rating,survey-multi-choice,11,87753,0.0-2.0-3.1,s20encxw28459xp,,"{""Q0"":""Relaxed""}",[0],
1027.755,<p>How negative/positive was this feeling expressed in this musical clip</p>,,valence rating,html-slider-response,12,88800,0.0-2.0-4.1,s20encxw28459xp,,,,50
2919.285,<p>How energetic/arousing was the feeling expressed in this musical clip</p>,,arousal rating,html-slider-response,13,91721,0.0-2.0-5.1,s20encxw28459xp,,,,50
null,"<div style=""font-size:60px;"">+</div>",null,fixation,html-keyboard-response,14,92724,0.0-2.0-0.2,s20encxw28459xp,,,,
null,"<div style=""font-size:60px;color:green"">+</div>",null,fixation,html-keyboard-response,15,93228,0.0-2.0-1.2,s20encxw28459xp,,,,
null,audio/1_The_Sweetest.mp3,null,song,audio-keyboard-response,16,94234,0.0-2.0-2.2,s20encxw28459xp,relaxed,,,
