"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","target","responses","question_order","response"
"2964.2599999988306","Welcome to the experiment. Press any key to begin.","75","welcome","html-keyboard-response","0","2967","0.0-0.0","r5l2vw7lqxdnfg7","","","",""
"17702.354999999443","<p>In this study you will hear a short musical clip and then make some ratings about the emotion it expresses or conveys</p><p>First you will select which emotion you think the musical clip is expressing</p><p>You will then rate how pleasant the feeling expressed in the musical clip was and also how energetic it was</p><p>Press the space bar to begin</p>","32","instruction","html-keyboard-response","1","20670","0.0-1.0","r5l2vw7lqxdnfg7","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","2","21675","0.0-2.0-0.0","r5l2vw7lqxdnfg7","","","",""
"null","<div style=""font-size:60px;color:green"">+</div>","null","fixation","html-keyboard-response","3","22180","0.0-2.0-1.0","r5l2vw7lqxdnfg7","","","",""
"null","audio/5_Get_Lucky.mp3","null","song","audio-keyboard-response","4","23188","0.0-2.0-2.0","r5l2vw7lqxdnfg7","happy","","",""
"8197.100000001228","","","emotion_rating","survey-multi-choice","5","31388","0.0-2.0-3.0","r5l2vw7lqxdnfg7","","{""Q0"":""Happy""}","[0]",""
"5116.270000000441","<p>How negative/positive was this feeling expressed in this musical clip</p>","","valence rating","html-slider-response","6","36506","0.0-2.0-4.0","r5l2vw7lqxdnfg7","","","","77"
"2541.4749999999913","<p>How energetic/arousing was the feeling expressed in this musical clip</p>","","arousal rating","html-slider-response","7","39049","0.0-2.0-5.0","r5l2vw7lqxdnfg7","","","","57"
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","8","40055","0.0-2.0-0.1","r5l2vw7lqxdnfg7","","","",""
"null","<div style=""font-size:60px;color:green"">+</div>","null","fixation","html-keyboard-response","9","40556","0.0-2.0-1.1","r5l2vw7lqxdnfg7","","","",""
"null","audio/24_Restless.mp3","null","song","audio-keyboard-response","10","41560","0.0-2.0-2.1","r5l2vw7lqxdnfg7","happy","","",""
"3956.5050000001065","","","emotion_rating","survey-multi-choice","11","45517","0.0-2.0-3.1","r5l2vw7lqxdnfg7","","{""Q0"":""Happy""}","[0]",""
"3790.929999999207","<p>How negative/positive was this feeling expressed in this musical clip</p>","","valence rating","html-slider-response","12","49309","0.0-2.0-4.1","r5l2vw7lqxdnfg7","","","","77"
"5140.004999999292","<p>How energetic/arousing was the feeling expressed in this musical clip</p>","","arousal rating","html-slider-response","13","54450","0.0-2.0-5.1","r5l2vw7lqxdnfg7","","","","84"
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","14","55450","0.0-2.0-0.2","r5l2vw7lqxdnfg7","","","",""
"null","<div style=""font-size:60px;color:green"">+</div>","null","fixation","html-keyboard-response","15","55956","0.0-2.0-1.2","r5l2vw7lqxdnfg7","","","",""
"null","audio/2_Inside.mp3","null","song","audio-keyboard-response","16","56960","0.0-2.0-2.2","r5l2vw7lqxdnfg7","sad","","",""
