"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","target","responses","question_order","response"
"1219.2849999992177","Welcome to the experiment. Press any key to begin.","39","welcome","html-keyboard-response","0","1224","0.0-0.0","8euxjpuvbr3pz9d","","","",""
"1168.6599999666214","<p>In this study you will hear a short musical clip and then make some ratings about the emotion it expresses or conveys</p><p>First you will select which emotion you think the musical clip is expressing</p><p>You will then rate how pleasant the feeling expressed in the musical clip was and also how energetic it was</p><p>Press the space bar to begin</p>","32","instruction","html-keyboard-response","1","2394","0.0-1.0","8euxjpuvbr3pz9d","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","2","3400","0.0-2.0-0.0","8euxjpuvbr3pz9d","","","",""
"null","<div style=""font-size:60px;color:green"">+</div>","null","fixation","html-keyboard-response","3","3906","0.0-2.0-1.0","8euxjpuvbr3pz9d","","","",""
"null","mp3/12_Fire_And_Rain_(LP_Version).mp3","null","song","audio-keyboard-response","4","4913","0.0-2.0-2.0","8euxjpuvbr3pz9d","sad","","",""
"3506.5300000132993","","","emotion_rating","survey-multi-choice","5","8422","0.0-2.0-3.0","8euxjpuvbr3pz9d","","{""Q0"":""Sad""}","[0]",""
"1521.8999999342486","<p>How negative/positive was this feeling expressed in this musical clip</p>","","valence rating","html-slider-response","6","9976","0.0-2.0-4.0","8euxjpuvbr3pz9d","","","","24"
"1653.9150000317022","<p>How energetic/arousing was the feeling expressed in this musical clip</p>","","arousal rating","html-slider-response","7","11631","0.0-2.0-5.0","8euxjpuvbr3pz9d","","","","32"
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","8","12637","0.0-2.0-0.1","8euxjpuvbr3pz9d","","","",""
"null","<div style=""font-size:60px;color:green"">+</div>","null","fixation","html-keyboard-response","9","13140","0.0-2.0-1.1","8euxjpuvbr3pz9d","","","",""
"null","mp3/15_Here_Today.mp3","null","song","audio-keyboard-response","10","14142","0.0-2.0-2.1","8euxjpuvbr3pz9d","sad","","",""
"1529.4200000353158","","","emotion_rating","survey-multi-choice","11","15673","0.0-2.0-3.1","8euxjpuvbr3pz9d","","{""Q0"":""Sad""}","[0]",""
"548.2100000372157","<p>How negative/positive was this feeling expressed in this musical clip</p>","","valence rating","html-slider-response","12","16253","0.0-2.0-4.1","8euxjpuvbr3pz9d","","","","50"
"176.55999993439764","<p>How energetic/arousing was the feeling expressed in this musical clip</p>","","arousal rating","html-slider-response","13","16431","0.0-2.0-5.1","8euxjpuvbr3pz9d","","","","50"
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","14","17437","0.0-2.0-0.2","8euxjpuvbr3pz9d","","","",""
"null","<div style=""font-size:60px;color:green"">+</div>","null","fixation","html-keyboard-response","15","17940","0.0-2.0-1.2","8euxjpuvbr3pz9d","","","",""
"null","mp3/23_Inside.mp3","null","song","audio-keyboard-response","16","18946","0.0-2.0-2.2","8euxjpuvbr3pz9d","sad","","",""
"1542.009999975562","","","emotion_rating","survey-multi-choice","17","20490","0.0-2.0-3.2","8euxjpuvbr3pz9d","","{""Q0"":""Sad""}","[0]",""
"151.4949999982491","<p>How negative/positive was this feeling expressed in this musical clip</p>","","valence rating","html-slider-response","18","20671","0.0-2.0-4.2","8euxjpuvbr3pz9d","","","","50"
"163.05999993346632","<p>How energetic/arousing was the feeling expressed in this musical clip</p>","","arousal rating","html-slider-response","19","20835","0.0-2.0-5.2","8euxjpuvbr3pz9d","","","","50"
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","20","21837","0.0-2.0-0.3","8euxjpuvbr3pz9d","","","",""
"null","<div style=""font-size:60px;color:green"">+</div>","null","fixation","html-keyboard-response","21","22339","0.0-2.0-1.3","8euxjpuvbr3pz9d","","","",""
"null","mp3/14_Get_Lucky.mp3","null","song","audio-keyboard-response","22","23342","0.0-2.0-2.3","8euxjpuvbr3pz9d","happy","","",""
"2276.6100000590086","","","emotion_rating","survey-multi-choice","23","25620","0.0-2.0-3.3","8euxjpuvbr3pz9d","","{""Q0"":""Happy""}","[0]",""
