MID,Item,Response,Negative
AE_01,I spend a lot of my free time doing music-related activities.,1 Completely disagree / 2 Strongly disagree / 3 disagree / 4 Neither agree nor disagree / 5 agree / 6 Strongly agree / 7 Completely agree,FALSE
AE_05,I often read or search the internet for things related to music.,1 Completely disagree / 2 Strongly disagree / 3 disagree / 4 Neither agree nor disagree / 5 agree / 6 Strongly agree / 7 Completely agree,FALSE
AE_07,Music is kind of an addiction for me - I couldn't live without it.,1 Completely disagree / 2 Strongly disagree / 3 disagree / 4 Neither agree nor disagree / 5 agree / 6 Strongly agree / 7 Completely agree,FALSE
EM_01,I sometimes choose music that can trigger shivers down my spine.,1 Completely disagree / 2 Strongly disagree / 3 disagree / 4 Neither agree nor disagree / 5 agree / 6 Strongly agree / 7 Completely agree,FALSE
EM_02,Pieces of music rarely evoke emotions for me.,1 Completely disagree / 2 Strongly disagree / 3 disagree / 4 Neither agree nor disagree / 5 agree / 6 Strongly agree / 7 Completely agree,TRUE
EM_03,I often pick certain music to motivate or excite me.,1 Completely disagree / 2 Strongly disagree / 3 disagree / 4 Neither agree nor disagree / 5 agree / 6 Strongly agree / 7 Completely agree,FALSE
EM_04,I am able to identify what is special about a given musical piece.,1 Completely disagree / 2 Strongly disagree / 3 disagree / 4 Neither agree nor disagree / 5 agree / 6 Strongly agree / 7 Completely agree,FALSE
EM_05,I am able to talk about the emotions that a piece of music evokes for me.,1 Completely disagree / 2 Strongly disagree / 3 disagree / 4 Neither agree nor disagree / 5 agree / 6 Strongly agree / 7 Completely agree,FALSE
EM_06,Music can evoke my memories of past people and places.,1 Completely disagree / 2 Strongly disagree / 3 disagree / 4 Neither agree nor disagree / 5 agree / 6 Strongly agree / 7 Completely agree,FALSE
MT_01,"I engaged in regular, daily practice of a musical instrument (including voice) for_ years.",0 / 1 / 2 / 3 / 4-5 / 6-9 / 10 or more,FALSE
MT_02,"At the peak of my interest, I practised my primary instrument for _ hours per day.",0 / 0.5 / 1 / 1.5 / 2 / 3-4 / 5 or more,FALSE
MT_06,I can play _ musical instruments.,0 / 1 / 2 / 3 / 4 / 5 / 6 or more,FALSE
PA_03,I find it difficult to spot mistakes in a performance of a song even if I know the tune.,1 Completely disagree / 2 Strongly disagree / 3 disagree / 4 Neither agree nor disagree / 5 agree / 6 Strongly agree / 7 Completely agree,TRUE
PA_06,I can tell when people sing or play out of time with the beat.,1 Completely disagree / 2 Strongly disagree / 3 disagree / 4 Neither agree nor disagree / 5 agree / 6 Strongly agree / 7 Completely agree,FALSE
PA_07,I can tell when people sing or play out of tune.,1 Completely disagree / 2 Strongly disagree / 3 disagree / 4 Neither agree nor disagree / 5 agree / 6 Strongly agree / 7 Completely agree,FALSE
